,Time,Symbol,Product,Change,Change_ratio,den,den_up,den_sh,Total V_5m,TUp V_5m,TUp Vr_5m,Up Vd_5m,Up Vr_5m,Undef V_5m,Undef Vr_5m,move ticks_5m,Total V_15m,TUp V_15m,TUp Vr_15m,Up Vd_15m,Up Vr_15m,Undef V_15m,Undef Vr_15m,move ticks_15m,Total V_60m,TUp V_60m,TUp Vr_60m,Up Vd_60m,Up Vr_60m,Undef V_60m,Undef Vr_60m,move ticks_60m
0,2021-09-03 20:57:33.023309,QCLV21-QCLZ21,CRUDE OIL,-0.06,-1.73,0.08,0.0,0.08,48.0,34.0,0.71,34.0,0.71,0.0,0.0,-1.0,252.0,34.0,0.13,157.0,0.62,0.0,0.0,-1.0,741.0,238.0,0.32,381.0,0.51,0.0,0.0,-3.0
1,2021-09-03 20:55:50.076148,QCLM22-QCLZ22,CRUDE OIL,-0.06,-0.52,,,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,88.0,14.0,0.16,30.0,0.34,0.0,0.0,0.0,123.0,21.0,0.17,39.0,0.32,0.0,0.0,-2.0
2,2021-09-03 20:57:37.233988,QCLU22-QCLZ22,CRUDE OIL,-0.03,-0.53,0.08,0.08,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,136.0,19.0,0.14,115.0,0.85,0.0,0.0,-1.0
3,2021-09-03 20:56:25.237800,QCLF22-QCLG22,CRUDE OIL,-0.01,-0.45,0.08,0.0,0.08,10.0,0.0,0.0,4.0,0.4,0.0,0.0,0.0,53.0,0.0,0.0,12.0,0.23,0.0,0.0,0.0,133.0,6.0,0.05,18.0,0.14,0.0,0.0,-1.0
4,2021-09-03 20:58:16.865169,QRBV21-QRBX21,RBOB GASOLINE,-0.0023,-0.62,0.75,0.58,0.17,157.0,45.0,0.29,69.0,0.44,0.0,0.0,3.0,602.0,347.0,0.58,339.0,0.56,0.0,0.0,15.0,2380.0,916.0,0.38,882.0,0.37,0.0,0.0,-12.0
5,2021-09-03 20:57:59.037855,QNGV21-QNGX21,NATURAL GAS,-0.001,-0.27,0.41,0.33,0.08,186.0,162.0,0.87,162.0,0.87,0.0,0.0,0.0,353.0,226.0,0.64,226.0,0.64,0.0,0.0,-1.0,995.0,503.0,0.51,521.0,0.52,0.0,0.0,-1.0
6,2021-09-03 20:56:23.314614,QNGG22-QNGH22,NATURAL GAS,-0.003,-0.23,0.08,0.08,0.0,42.0,23.0,0.55,29.0,0.69,0.0,0.0,-1.0,61.0,42.0,0.69,44.0,0.72,0.0,0.0,-1.0,293.0,182.0,0.62,178.0,0.61,0.0,0.0,0.0
7,2021-09-03 18:59:05.171560,QCLQ22-QCLV22,CRUDE OIL,-0.01,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-09-03 20:54:41.800702,QHOZ21-QHOZ22,NEW YORK HARBOR ULSD,-0.0024,-0.63,,,,2.0,2.0,1.0,1.0,0.5,0.0,0.0,0.0,3.0,2.0,0.67,1.0,0.33,0.0,0.0,3.0,8.0,2.0,0.25,2.0,0.25,0.0,0.0,0.0
9,2021-09-03 20:29:57.958000,@CCZ21-@CCH22,COCOA,-1.0,-0.25,,,,,,,,,,,,,,,,,,,,167.0,92.0,0.55,108.0,0.65,0.0,0.0,2.0
